state,tested,vaccinated1,vaccinated2,confirmed,deceased,recovered,other,delta7_confirmed,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_deceased,delta7_other,delta21_14_confirmed,meta_date,meta_last_updated,meta_population,meta_tested,meta_vaccinated,meta_notes,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_other
AN,1376,3,13,,,,,3,5,8936,884,10640,,,9,31-10-2021,2021-11-01T11:03:10+05:30,397000,"{'date': '2021-10-31', 'source': 'https://dhs.andaman.gov.in/NewEvents/851.pdf'}",{'date': '2021-10-31'},,7651,129,7518,598033,294001,200157,
AP,39848,20497,24137,385,4,675,,2873,3590,254532,1223010,1887005,30,,3220,31-10-2021,2021-11-01T09:54:14+05:30,52221000,"{'date': '2021-10-31', 'source': 'https://twitter.com/ArogyaAndhra/status/1454748197272711177'}",{'date': '2021-10-31'},,2066450,14373,2047722,29518787,32976969,20375181,
AR,334,42,195,1,,9,,66,97,4788,3312,23647,,,87,31-10-2021,2021-11-01T11:20:24+05:30,1504000,"{'date': '2021-10-31', 'source': 'https://twitter.com/DirHealth_ArPr/status/1454823191751233544?s=20'}",{'date': '2021-10-31'},[July 25]: All numbers corresponding to Papum Pare and Captial Complex are tracked under Papum Pare district.,55155,280,54774,1185436,771875,534486,
AS,15060,19124,37463,212,1,236,,2056,2215,269097,274869,849889,24,,1499,31-10-2021,2021-11-01T09:54:14+05:30,34293000,"{'date': '2021-10-31', 'source': 'https://twitter.com/nhm_assam/status/1454837285032103940?s=20'}",{'date': '2021-10-31'},[Jan 1]: 1347 cases i.e Covid +'tive patients dead for other reasons have been deducted fom active count.,610645,5997,600974,24712042,20172463,8068795,1347
BR,226443,114694,145827,8,,9,,40,31,1378539,1286708,2144970,,,30,31-10-2021,2021-11-01T09:54:14+05:30,119520000,"{'date': '2021-10-31', 'source': 'https://twitter.com/BiharHealthDept/status/1454805874447290369?s=20'}",{'date': '2021-10-31'},[June 9] : 3951 deceased cases have been reported in the bulletin after reconciliation of records by the authorities,726098,9661,716390,50531824,49874828,18346781,1
CH,1403,211,1282,5,,3,,28,20,10726,3680,21641,,,23,31-10-2021,2021-11-01T09:54:14+05:30,1179000,"{'date': '2021-10-31', 'source': 'https://t.me/Covid19india_Auxiliary_Test_Data/11877'}",{'date': '2021-10-31'},,65351,820,64495,792851,926035,546981,
CT,11869,21312,39393,32,1,32,,205,103,147451,379374,604260,5,,124,31-10-2021,2021-11-01T09:54:14+05:30,28724000,"{'date': '2021-10-31', 'source': 'https://twitter.com/HealthCgGov/status/1454835690198298624?s=20'}",{'date': '2021-10-31'},,1006052,13577,992159,13709510,14851682,7343273,
DL,56751,12482,11839,45,,46,,267,239,395086,160323,269146,,,195,31-10-2021,2021-11-01T09:54:14+05:30,19814000,"{'date': '2021-10-31', 'source': 'https://t.me/Covid19india_Auxiliary_Test_Data/11885'}",{'date': '2021-10-31'},"[July 14]: Value for the total tests conducted has been reduced by 97008 in the state bulletin. Reason given : ""Reconciled with ICMR figures"". We have made the same change.",1439870,25091,1414431,29427753,13055636,7425404,
DN,,3,20,,,1,,,2,,2802,14244,,,4,31-10-2021,2021-11-01T09:54:14+05:30,959000,"{'date': '2020-10-20', 'source': 'https://dddcovid19.in/uploads/report/BulletinDNHDD20102020.pdf'}",{'date': '2021-10-31'},,10681,4,10644,72410,660753,370255,31
GA,2361,2572,12404,23,,53,,222,409,19026,8418,46494,6,,409,31-10-2021,2021-11-01T09:54:14+05:30,1540000,"{'date': '2021-10-31', 'source': 'https://www.goa.gov.in/wp-content/uploads/2021/10/Media-Bulletin-31st-October-2021.pdf'}",{'date': '2021-10-31'},,178108,3364,174392,1468399,1262568,911114,
GJ,34282,14685,62096,20,,23,,159,116,328489,335172,1660382,2,,149,31-10-2021,2021-11-01T09:54:14+05:30,67936000,"{'date': '2021-10-31', 'source': 'https://t.me/Covid19india_Auxiliary_Test_Data/11879'}",{'date': '2021-10-31'},,826577,10089,816283,30928063,44735217,25972387,
HP,3613,371,8192,85,1,198,,1537,1154,64352,13244,234011,20,-1,958,31-10-2021,2021-11-01T09:54:14+05:30,7300000,"{'date': '2021-10-31', 'source': 'https://twitter.com/nhm_hp/status/1454810267364200449?s=20'}",{'date': '2021-10-31'},,224106,3738,218410,3685011,5713695,3443823,16
HR,20588,7867,15801,11,,10,,95,87,148110,160777,368141,,,83,31-10-2021,2021-11-01T09:54:14+05:30,28672000,"{'date': '2021-10-31', 'source': 'http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Daily%20Bulletin%20of%20COVID%2019%20as%20on%2031-10-2021.pdf'}",{'date': '2021-10-31'},,771252,10049,761068,13032504,17772376,8115463,
JH,31238,41034,51488,10,,8,,137,250,464579,299587,428313,3,,78,31-10-2021,2021-11-01T09:54:14+05:30,37403000,"{'date': '2021-10-31', 'source': 'https://t.me/Covid19india_Auxiliary_Test_Data/11884'}",{'date': '2021-10-31'},,348764,5138,343518,15985878,14986646,5585648,
JK,38915,1584,45202,95,,79,,611,572,254608,33383,414843,3,,529,31-10-2021,2021-11-01T09:54:14+05:30,13203000,"{'date': '2021-10-31', 'source': 'https://twitter.com/diprjk/status/1454804735307894787?s=20'}",{'date': '2021-10-31'},,332249,4432,326915,16202346,9511073,5149471,
KA,106939,17604,28163,292,11,345,,2347,2339,724215,623591,1373861,75,,2432,31-10-2021,2021-11-01T09:54:14+05:30,65798000,"{'date': '2021-10-31', 'source': 'https://t.co/pjWOnWUs3q?amp=1'}",{'date': '2021-10-31'},,2988333,38082,2941578,50873103,42497761,22858384,29
