State,District,delta_confirmed,delta_deceased,delta_recovered,delta_vaccinated1,delta_vaccinated2,delta_tested,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_vaccinated1,delta7_vaccinated2,delta7_tested,meta_population,total_confirmed,total_deceased,total_recovered,total_vaccinated1,total_vaccinated2,total_tested
AN,Nicobars,0,0,0,0,0,0,0,0,0,62,811,0,36842,0,0,0,25394,20313,0
AN,North and Middle Andaman,0,0,0,0,8,0,0,0,0,90,1839,0,105597,0,0,0,78945,59522,0
AN,South Andaman,0,0,0,3,28,0,0,0,0,732,8012,0,238142,0,0,0,189662,120322,0
AN,Unknown,0,0,0,0,0,0,3,0,5,0,0,0,0,7651,129,7518,0,0,0
AP,Anantapur,4,0,5,4575,5370,0,38,0,58,92803,140903,0,4083315,157843,1093,156699,2690082,1611476,787085
AP,Chittoor,64,1,87,878,1306,0,516,6,629,63824,119541,0,4170468,246935,1947,244144,2832987,1807873,780322
AP,East Godavari,87,0,121,41,237,0,604,0,520,36973,223236,0,5151549,293836,1290,291610,3532220,1990578,944746
AP,Foreign Evacuees,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,434,0,0,0
AP,Guntur,33,0,198,1119,1248,0,272,4,619,285377,156818,0,4889230,178068,1237,176629,3440118,1891773,833823
AP,Krishna,46,1,71,51,337,0,422,9,467,75352,230788,0,4529009,119348,1430,117130,2971604,1914927,782232
AP,Kurnool,6,0,3,4716,1538,0,25,0,26,178620,73119,0,4046601,124142,853,123264,2672759,1290419,867361
AP,Other State,0,0,0,0,0,0,0,0,0,0,0,0,0,2461,0,2461,0,0,0
AP,Prakasam,6,0,37,3292,5872,0,103,3,290,137338,130213,0,3392764,138482,1124,136989,2321031,1521177,697340
AP,S.P.S. Nellore,34,1,23,2724,1639,0,155,2,235,96973,114393,0,2966082,146388,1053,144919,2143402,1403240,682964
AP,Srikakulam,19,0,20,2,6,0,132,0,72,18883,129575,0,2699471,123109,786,122136,1630248,974734,670899
AP,Visakhapatnam,27,0,30,1309,2311,0,237,1,227,65301,207340,0,4288113,157737,1127,156492,2999432,1864960,744983
AP,Vizianagaram,7,1,11,601,1855,0,53,1,38,44847,123576,0,2342868,82967,672,82231,1393491,996097,531433
AP,West Godavari,40,0,44,878,1884,0,234,4,246,61021,146562,0,3934782,179077,1117,177680,2525317,1778807,793098
AP,Y.S.R. Kadapa,12,0,25,1005,1101,0,82,0,163,65843,90958,0,2884524,115623,644,114904,1824032,1328711,671761
AR,Anjaw,0,0,0,0,0,0,0,0,0,45,452,0,21089,1068,3,1065,11695,7957,2845
AR,Capital Complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115210
AR,Changlang,0,0,1,0,0,0,3,0,3,298,3803,0,147951,3807,22,3780,88857,55361,23861
AR,East Kameng,0,0,0,0,1,0,0,0,0,76,409,0,78413,1094,0,1094,22931,15646,7489
AR,East Siang,0,0,5,0,0,0,9,0,10,365,2013,0,99019,3206,17,3183,54001,39434,21867
AR,Kamle,0,0,0,0,0,0,0,0,0,36,185,0,22256,512,0,512,6946,3874,1385
AR,Kra Daadi,0,0,0,0,0,0,0,0,0,5,23,0,0,270,0,270,6275,3272,3218
AR,Kurung Kumey,0,0,0,0,0,0,0,0,0,27,255,0,89717,511,1,510,9121,5601,4201
AR,Lepa Rada,0,0,0,6,54,0,0,0,1,40,307,0,0,874,3,871,13328,10176,6747
AR,Lohit,0,0,0,0,0,0,9,0,3,221,1494,0,145538,2885,26,2851,31120,22003,14945
