state,date,delta_confirmed,delta_deceased,delta_recovered,delta_vaccinated1,delta_vaccinated2,delta_tested,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_vaccinated1,delta7_vaccinated2,delta7_tested,total_confirmed,total_deceased,total_recovered,total_vaccinated1,total_vaccinated2,total_tested
AN,26-03-2020,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AN,27-03-2020,5,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0
AN,28-03-2020,3,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
AN,29-03-2020,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
AN,30-03-2020,1,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
AN,31-03-2020,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
AN,01-04-2020,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
AN,02-04-2020,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
AN,03-04-2020,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
AN,04-04-2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AN,05-04-2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AN,06-04-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,07-04-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,08-04-2020,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AN,09-04-2020,0,0,10,0,0,0,1,0,10,0,0,0,1,0,10,0,0,0
AN,10-04-2020,0,0,0,0,0,0,1,0,10,0,0,0,1,0,10,0,0,0
AN,11-04-2020,0,0,0,0,0,0,1,0,10,0,0,0,1,0,10,0,0,0
AN,12-04-2020,0,0,0,0,0,0,1,0,10,0,0,0,1,0,10,0,0,0
AN,13-04-2020,0,0,0,0,0,0,1,0,10,0,0,0,1,0,10,0,0,0
AN,14-04-2020,0,0,0,0,0,0,1,0,10,0,0,0,1,0,10,0,0,0
AN,15-04-2020,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0
AN,16-04-2020,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AN,17-04-2020,1,0,0,0,0,1403,1,0,1,0,0,1403,1,0,1,0,0,1403
AN,18-04-2020,2,0,0,0,0,0,3,0,1,0,0,1403,3,0,1,0,0,1403
AN,19-04-2020,1,0,0,0,0,0,4,0,1,0,0,1403,4,0,1,0,0,1403
AN,20-04-2020,1,0,0,0,0,0,5,0,1,0,0,1403,5,0,1,0,0,1403
AN,21-04-2020,1,0,0,0,0,0,6,0,1,0,0,1403,6,0,1,0,0,1403
AN,22-04-2020,1,0,0,0,0,0,7,0,1,0,0,1403,7,0,1,0,0,1403
AN,23-04-2020,4,0,0,0,0,0,11,0,0,0,0,1403,11,0,0,0,0,1403
AN,24-04-2020,7,0,0,0,0,1276,17,0,0,0,0,1276,17,0,0,0,0,1276
AN,25-04-2020,4,0,0,0,0,0,19,0,0,0,0,1276,19,0,0,0,0,1276
AN,26-04-2020,0,0,0,0,0,0,18,0,0,0,0,1276,18,0,0,0,0,1276
AN,27-04-2020,0,0,0,0,0,169,17,0,0,0,0,1445,17,0,0,0,0,1445
AN,28-04-2020,0,0,4,0,0,0,16,0,4,0,0,1445,16,0,4,0,0,1445
AN,29-04-2020,0,0,0,0,0,0,15,0,4,0,0,1445,15,0,4,0,0,1445
AN,30-04-2020,0,0,1,0,0,0,11,0,5,0,0,1445,11,0,5,0,0,1445
AN,01-05-2020,0,0,0,0,0,906,4,0,5,0,0,1075,4,0,5,0,0,1075
AN,02-05-2020,0,0,10,0,0,0,0,0,15,0,0,1075,0,0,15,0,0,1075
AN,03-05-2020,0,0,6,0,0,0,0,0,21,0,0,1075,0,0,21,0,0,1075
AN,04-05-2020,0,0,0,0,0,0,0,0,21,0,0,906,0,0,21,0,0,906
AN,05-05-2020,0,0,0,0,0,0,0,0,17,0,0,906,0,0,17,0,0,906
